Garçon [gaʀsɔ̃],Rapaz,Vous devez parler au Garçon solitaire.,Substantivo
Crayon [kʀɛjɔ̃],Lápis,Sélectionnez l'outil Crayon et tracez un contour en dedans de la carrosserie tout en suivant ses limites.,Substantivo
Banc [bɑ̃],Banco,"Ici, le Musée du Banc.",Substantivo
Cahier [kaje],Caderno,Cahier de Propositions «Politiques foncières et réformes agraires».,Substantivo
Homme [ɔm],Homem,L'Homme fait cela assez instinctivement.,Substantivo
Livre [livʀ],Livro,Le Livre protège les douze Cités.,Substantivo
Stylo [stilo],Caneta,NutropinAq doit être utilisé uniquement avec le Stylo NutropinAq Pen.,Substantivo
Chaise [ʃɛz],Cadeira,"Chaise avec du contreplaqué, rembourrage e...",Substantivo
Femme [fam],Mulher,Femme scientifique travaillant avec le liquide en labo.,Substantivo
Fille [fij],Filha,"Fille unique, née et élevée dans le Montana, ses parents sont morts.",Substantivo
Gomme [gɔm],Borracha,Le bouton appelle l'outil Gomme qui permet d'effacer les traits.,Substantivo
Règle [ʀɛgl],Regra,"Règle numéro un, restez groupés.",Substantivo
Serviette [sɛʀvjɛt],Toalha,NotrernUsine peut produit Hibiscus Rose Jacqurd Terry Beach Serviette selon le clientrnexigences.,Substantivo
Table [tabl],Mesa,Voici donc Anatomage Table. Merci.,Substantivo
Calendrier [kalɑ̃dʀije],Calendário,Calendrier: Big Date à 12h.,Substantivo
Gant [gɑ̃],Luva,Pour effacer tout lien avec Gant Rouge.,Substantivo
Plancher [plɑ̃ʃe],Piso,"Plancher de marbre partout, parking.",Substantivo
Plafond [plafɔ̃],Teto,"Construction Material porte anti-feu armoires de cuisine, Plafond, Unité sanitaire, Elevator etc.",Substantivo
Mouchoir [muʃwaʀ],Lenço,Envoie Ton saint Mouchoir afin qu'il nous lave.,Substantivo
Mur [myʀ],Parede,Attendez devant le Mur des Astronautes.,Substantivo
Sac [sak],Saco,Sac papier doublé de polyéthylène contenant 1 kg.,Substantivo
Lampe [lɑ̃p],Lâmpada,Lampe originalestyle marin avec pied d'ancrage.,Substantivo
Montre [mɔ̃tʀ],Relógio,Montre au boîtier hermétique et non réparable.,Substantivo
Clé [kle],Chave,C'est la Clé dorée du seigneur Alcaman.,Substantivo
Cravate [kʀavat],Gravata,"- Cravate verte, chemise horrible.",Substantivo
Fenêtre [f(ә)nɛtʀ],Janela,"Fenêtre cintrée, vitres colorées, peut-être une église.",Substantivo
Horloge [ɔʀlɔʒ],Relógio,Horloge (minutes et heures) de session.,Substantivo
Porte [pɔʀt],Porta,Porte ouverte au 1527 Benedict Canyon Drive.,Substantivo
Étudiant [etydjɑ̃],Estudante,"Étudiant américain, a abandonné et rejoint l'armée, envoyé en Afghanistan.",Substantivo
Oiseau [wazo],Pássaro,Oiseau bariolé est une entreprise nouvelle qui vient de lancer cet été.,Substantivo
Professeur [pʀɔfesœʀ],Professor,"Merci pour votre confiance, Professeur McCord.",Substantivo
Craie [kʀɛ],Giz,La Craie n'était pas dans sa main droite.,Substantivo
Robe [ʀɔb],Vestido,Robe satin chérie Empire des appliques et train,Substantivo
"Blanc [blɑ̃, blɑ̃ʃ]",Branco,"Veronica, la variation du Cygne Blanc.",Adjetivo
"Brun [bʀœ̃, bʀyn]",Marrom,Montrer un plumage Brun noirâtre avec des rayures de couleur jaune-orange dedans queue et le poitrine.,Substantivo
Brune [bʀyn],Morena,Brune sur la carte d'identité.,Substantivo
Jaune [ʒon],Amarelo,Bandes réfléchissantes Oxford pour bras/cheville Jaune Fluo.,Substantivo
Rouge [ʀuʒ],Vermelho,L'Armée Rouge arrivera à temps...,Substantivo
Bleu [blø],Azul,Sea World nautique Kid santé Coton Bleu 4-pièces...,Adjetivo
Noir [nwaʀ],Preto,Noir comme le ciel à minuit.,Substantivo
"Gris [gʀi, gʀiz]",Cinza,Moncler ANGERS Gris Détails sur le produit Veste en microfibre de polyester et...,Adjetivo
Rose [ʀoz],Rosa,Bouquet de Roses blanches entourant une Rose rouge centrée.,Adjetivo
"Vert [vɛʀ, vɛʀt]",Verde,"Vert, avec un chrysanthème rouge.",Adjetivo
Où [u],Em que,Où un tribut Devient un vainqueur.,Advérbio
Dans [dɑ̃],No,Dans ta chambre peut-être à t'attendre.,Advérbio
Devant [d(ә)vɑ̃],Perante,Devant toutes les possibilités que notre mariage nous offre.,Advérbio
Derrière [dɛʀjɛʀ],Atrás,Derrière cela était une feuille bilatérale bleue.,Advérbio
Sous [su],Sob,"Sous son influence, Suki pourrait être dangereuse.",Advérbio
Sur [syʀ],Sobre,Sur notre Service de couches bébé somnolent.,Advérbio
Maintenant [mɛ̃t(ә)nɑ̃],Agora,Maintenant prends ce téléphone et appelle la.,Advérbio
Voici [vwasi],Aqui está,Voici une sélection d'entreprises et d'institutions académiques qui utilisent MindMeister.,Advérbio
