Chien [ʃjɛ̃],Cão,Chien de chasse hongrois à poils courts.,Substantivo
Cou [ku],Pescoço,"Cou rompu net, côtes cassés, articulations brisées.",Substantivo
Coude [kud],Cotovelo,"Coude en alliage de zinc renforcé, durable et anti-rupture...",Substantivo
Genou [ʒ(ә)nu],Joelho,Genou - le plus difficile dans tout le squelettedroits.,Substantivo
Doigt [dwa],Dedo,"Faites risette, voilà le Doigt.",Substantivo
Bec [bɛk],Bico,"Bec Bunsen, Usbeck Conforme à la norme DIN 30665 avec régulation d'air et veilleuse permanente...",Substantivo
Bras [bʀɑ],Braço,"Bras parallèle inférieur, longueur étendue (23).",Substantivo
Corps [kɔʀ],Corpo,Corps laiton et gâchette en acier nickelé.,Substantivo
Dos [do],Costas,"Dos droit, yeux rivés sur la balle.",Substantivo
Membre [mɑ̃bʀ],Membro,Membre de la résistance allemande du Cercle Kreisau.,Substantivo
Pied [pje],Pé,"Pied droit, relâchez la pression.",Substantivo
Jambe [ʒɑ̃b],Perna,"Jambe et vertèbre cassées, hémorragie interne.",Substantivo
Main [mɛ̃],Mão,Votre Main est un homme intelligent.,Substantivo
Poitrine [pwatʀin],Peito,Poitrine de dinde fourrée aux champignons porcini,Substantivo
Épaule [epol],Ombro,Épaule en cuir beige ou sangle bandoulière réglable pratique,Substantivo
Aile [ɛl],Ala,Ça les excite tellement que je l'appelle l'Aile Moite.,Substantivo
Bouche [buʃ],Boca,"Bouche sèche, hypersalivation, problèmes dentaires, hémorroïdes.",Substantivo
Patte [pat],Pata,"- Voilà, Patte de Renard.",Substantivo
Tête [tɛt],Cabeça,Tête de décapitation lieu sous une tente permanente de fer dans la cour de la mosquée.,Substantivo
"Droit [dʀwa, dʀwat]",Direito,Droit concédé par la volonté souveraine du peuple.,Substantivo
"Fort [fɔʀ, fɔʀt]",Forte,Arrêté pour insubordination à la bataille de Fort Casey.,Adjetivo
Gauche [goʃ],Esquerda,Gauche : Les antennes HUBER+SUHNER placées autour du bâtiment Burj Khalifa.,Substantivo
Robuste [ʀɔbyst],Robusto,"Robuste, faible bruit de qualité Studio Power aux systèmes modulaires.",Adjetivo
Solide [sɔlid],Sólido,Solide cristallin qui regarde et goûte doux comme le sucrose.,Adjetivo
Front [fʀɔ̃],Frente,Nous savons que vous cherchez le Front Révolutionnaire.,Substantivo
Menton [mɑ̃tɔ̃],Queixo,Menton vers le bas juste un contact.,Substantivo
Cheveu [ʃ(ә)vø],Cabelo,En fait c'était notre étude de terrain... l'année dernière à l'Université du Cheveu.,Substantivo
Yeux [jø],Olhos,"Félicitations, Monsieur aux Yeux Bleus.",Substantivo
Cil [sil],Pestana,Nom Cil d'imitation mou superbe de vison,Substantivo
Nez [ne],Nariz,"Nez cassé, points de suture, dent manquante.",Substantivo
Portrait [pɔʀtʀɛ],Retrato,Portrait de l'équipe de jeunes entrepreneurs au travail.,Substantivo
Sourcil [suʀsi],Sobrancelha,"Sourcil, broderie de tatouage d'eyeline.",Substantivo
Visage [vizaʒ],Rosto,On se fiche des Sans Visage.,Substantivo
Dent [dɑ̃],Dente,"Dr Dent, vous devriez arrêter.",Substantivo
Langue [lɑ̃g],Língua,Choisissez soigneusement votre École de Langue Espagnole.,Substantivo
Joue [ʒu],Desempenha,"Joue aux échecs avec lui, au choix.",Substantivo
Fleur [flœʀ],Flor,"Fleur, ouvrez-vous à l'incohérence.",Substantivo
Lèvre [lɛvʀ],Lábio,"Lèvre fendue, coups au visage.",Substantivo
Oreille [ɔʀɛj],Ouvido,Oreille gauche dressée. Surdité partielle.,Substantivo
Beau bɛl],Bonito,"Beau, emploi et logement découvrir sans difficulté dans une hôtesse de club.",Adjetivo
Belle [bɛl],Bela,"Belle dame, votre diligence vous attend.",Adjetivo
"Blond [blɔ̃, blɔ̃d]",Loiro,"James. Blond, il est aimable et parle beaucoup.",Adjetivo
"Laid [lɛ, lɛd]",Feio,"Laid, destructeur, et n'ayant aucun respect pour la nature.",Adjetivo
Maison [mɛzɔ̃ / mezɔ̃],Casa,Sa place est la Maison Blanche.,Substantivo
