Cadran [kadʀɑ̃],Mostrador,Cadran champagne avec des marqueurs bâton heures.,Substantivo
Matin [matɛ̃],Manhã,"Sonseeahray, l'Étoile du Matin.",Substantivo
Chiffre [ʃifʀ],Número,Ces jours-ci vous obtiendrez votre espagnol NIE Chiffre sur un morceau de papier A4,Substantivo
Jour [ʒuʀ],Dia,Jour 11: Départ sur votre propre destination (B).,Substantivo
Soir [swaʀ],Noite,Lac Saghamo - le nom signifie littéralement Soir.,Substantivo
Soleil [sɔlɛj],Sol,Nous voyageons autour du Soleil sur notre planète.,Substantivo
Seconde [s(ә)gɔ̃de],Segunda,22 juin : Seconde abdication de Napoléon.,Substantivo
Minute [minyt],Minuto,7 séance d'entraînement Minute Pro sans annonces.,Substantivo
Lune [lyn],Lua,Passez une magnifique Lune de Miel.,Substantivo
Aiguille [egɥij],Agulha,"Aiguille maquillage produits connexes : permanent, outils a main microblading.",Substantivo
Nuit [nɥi],Noite,Nuit sous tentes nomades autour du feu.,Substantivo
Étoile [etwal],Estrela,"Sonseeahray, l'Étoile du Matin.",Substantivo
Heure [œʀ],Hora,23.00 Heure Sainte à adorer publiquement au Saint Sacrement réservé dans le monument.,Substantivo
An [ɑ̃],Ano,Ce Jeudi saint est le dernier avant l'An 2000.,Substantivo
Mois [mwa],Mês,Le temps a passé... Mois sans courir.,Substantivo
Bébé [bebe],Bebé,"Dr Meechum: ""Comment Soigner Bébé"".",Substantivo
Dimanche [dimɑ̃ʃ],Domingo,Dimanche soir à 20h00 au Hilton.,Substantivo
Lundi [lœ̃di],Segunda-feira,Lundi dernier mon épouse et moi étions dans un restaurant.,Substantivo
Mardi [maʀdi],Terça-feira,Mardi dans L'Epouvantail et Mme King...,Substantivo
Mercredi [mɛʀkʀәdi],Quarta-feira,"Assistant Google: Mercredi prochain, 18h.",Substantivo
Jeudi [ʒødi],Quinta-feira,Jeudi dernier Dryden House à Georgetown.,Substantivo
Vendredi [vɑ̃dʀәdi],Sexta-feira,(De Lundi à Vendredi matins).,Substantivo
Samedi [samdi],Sábado,"Samedi après-midi, en plein jour.",Substantivo
Janvier [ʒɑ̃vje],Janeiro,Janvier apporte un temps fantastique pour explorer le lac Okeechobee.,Substantivo
Février [fevje],Fevereiro,"Le documentaire diffusé le 28 Février, 2015.",Substantivo
Mars [maʀs],Março,Mars: accord politique du Conseil européen.,Substantivo
Avril [avʀil],Abril,De Avril vous pouvez louer notre appartement.,Substantivo
Mai [mɛ],Maio,J'étais à Corto Maltese depuis Mai.,Substantivo
Juin [ʒɥɛ̃],Junho,Les naissances en Juin réduisent à 180000.,Substantivo
Juillet [ʒɥijɛ],Julho,Blooms abondamment de Juillet à l'automne.,Substantivo
Août [u(t)],Agosto,Publié Août 62008 par TPBC dans Nouvelles.,Substantivo
Septembre [sɛptɑ̃bʀ],Setembro,Les satellites débuteront le 23 Septembre 2012.,Substantivo
Octobre [ɔktɔbʀ],Outubro,L'hippodrome est déclaré d'intérêt culturel d'Octobre 2009.,Substantivo
Novembre [nɔvɑ̃bʀ],Novembro,Inscriptions ouvertes pour 13 Novembre au 16 Décembre.,Substantivo
Décembre [desɑ̃bʀ],Dezembro,Supérieur & réunion du Conseil du 20 Décembre.,Substantivo
Année [ane],Ano,Je deviendrai peut-être Entraîneur de l'Année.,Substantivo
Semaine [s(ә)mɛn],Semana,Diverses activités ont lieu chaque année pendant la Semaine européenne.,Substantivo
Aujourd’hui [oʒuʀdɥi],Hoje,"Aujourd'hui, 6800 ont disparu.",Advérbio
Demain [d(ә)mɛ̃],Amanhã,Demain nous célébrerons le retour du laird.,Advérbio
Après-demain [apʀɛd(ә)mɛ̃],Depois de amanhã,"Après-demain, elle aura quitté le pays.",Advérbio
Hier [jɛʀ],Ontem,"Hier, avec l'appareil photo...",Advérbio
Avant-hier [avɑ̃tjɛʀ],Anteontem,"Avant-hier, j'ai repêché une fille non identifiée près du pont.",Advérbio
